image_name,category
n02780704_4270_0.jpg,8
n03978966_13641_0.jpg,5
n02943964_1584_0.jpg,7
n02807616_18714_0.jpg,6
n03404251_185_0.jpg,2
n04531873_7203_0.jpg,6
n03786194_8242_0.jpg,9
n03057021_5451_0.jpg,3
n02892767_22164_0.jpg,12
n03201776_14697_0.jpg,4
n04445040_7779_0.jpg,1
n02925519_1280_0.jpg,9
n04479046_5789_0.jpg,6
n04136161_6430_0.jpg,4
n03013438_3493_0.jpg,12
n03384891_18742_0.jpg,9
n03112869_43790_0.jpg,12
n04123448_10045_0.jpg,9
n03324928_2219_0.jpg,13
n03062015_2941_0.jpg,2
n03630383_2045_0.jpg,6
n03981340_2765_0.jpg,6
n02926426_8614_0.jpg,12
n03703463_6476_0.jpg,3
n04445040_820_0.jpg,1
n03835941_1605_0.jpg,10
n04363777_8676_1.jpg,2
n03045337_19798_0.jpg,2
n04514241_2369_0.jpg,12
n03885669_3873_0.jpg,2
n03404251_7895_0.jpg,2
n02898585_12079_1.jpg,4
n03630383_2664_0.jpg,2
n03981340_4425_0.jpg,6
n03849943_1130_0.jpg,6
n02807616_1905_0.jpg,3
n03467254_1090_0.jpg,8
n04021028_15310_0.jpg,10
n04368496_13593_0.jpg,3
n04097866_5009_0.jpg,6
n04427715_2920_0.jpg,9
n03630383_6898_0.jpg,2
n03239259_1163_0.jpg,13
n02944146_1430_0.jpg,12
n02807616_9262_1.jpg,6
n03902756_7415_0.jpg,3
n02937010_91_0.jpg,3
n03902756_2625_0.jpg,3
n02726017_4256_0.jpg,4
n03978966_19208_0.jpg,5
n03450230_13238_0.jpg,4
n03607923_2187_0.jpg,8
n04097866_13946_0.jpg,12
n02936402_10583_0.jpg,4
n04350905_5412_0.jpg,9
n04531873_13891_1.jpg,9
n03617480_13036_0.jpg,13
n03062015_3168_0.jpg,4
n03112869_9149_0.jpg,12
n03254046_2916_0.jpg,2
n04355511_7300_0.jpg,8
n02944075_4623_0.jpg,12
n04370048_36433_0.jpg,10
n03980874_4477_0.jpg,1
n03112869_16168_0.jpg,8
n03763968_1963_0.jpg,13
n03891051_10269_0.jpg,3
n04479046_1893_0.jpg,8
n04129766_3319_1.jpg,2
n03057021_7442_0.jpg,3
n03112869_25595_0.jpg,12
n04615644_326_0.jpg,2
n04071393_1793_0.jpg,13
n03013438_18454_0.jpg,4
n04514241_9003_0.jpg,12
n03885669_9497_0.jpg,3
n04136161_12327_0.jpg,12
n04136161_7351_0.jpg,4
n03751269_3446_0.jpg,10
n02925519_3820_0.jpg,9
n02892767_25661_0.jpg,12
n04097866_7533_0.jpg,6
n02921406_3479_0.jpg,2
n02936570_3668_0.jpg,4
n02956883_9948_0.jpg,4
n03788914_2591_0.jpg,4
n02963159_7412_0.jpg,10
n04531873_18513_0.jpg,4
n03607923_112_0.jpg,4
n04514241_9697_0.jpg,12
n04123026_2670_0.jpg,3
n03384891_33513_0.jpg,4
n04021028_17922_0.jpg,10
n03604400_28358_0.jpg,12
n03062015_3866_0.jpg,12
n04514241_3556_0.jpg,12
n03132776_3014_0.jpg,4
n04021028_17921_0.jpg,10
n03902756_5291_0.jpg,3
n03589791_3811_0.jpg,3
n04445154_9665_0.jpg,1
n02867966_1460_0.jpg,3
n03450230_2557_1.jpg,4
n04136161_6580_0.jpg,1
n03010795_7681_0.jpg,6
n04504141_24523_0.jpg,3
n02936570_9274_0.jpg,4
n04222470_697_0.jpg,9
n03254046_2159_1.jpg,10
n03057021_1788_0.jpg,2
n04223299_5974_0.jpg,12
n02667093_3752_0.jpg,6
n02781121_3367_0.jpg,4
n03205574_4017_0.jpg,1
n02925519_8081_0.jpg,9
n04136161_14500_0.jpg,4
n04136161_5441_0.jpg,4
n04497570_3049_0.jpg,1
n02667093_180_0.jpg,4
n02936402_246_0.jpg,4
n04021028_13860_0.jpg,10
n04502197_5893_0.jpg,10
n03237992_6597_0.jpg,6
n03112869_25231_0.jpg,12
n02667093_1947_0.jpg,6
n03849943_7069_0.jpg,1
n02780704_3542_0.jpg,4
n03057021_1809_0.jpg,2
n04136161_8839_0.jpg,4
n03595055_1575_0.jpg,1
n03474167_12929_0.jpg,13
n03980874_1357_0.jpg,1
n04223299_39339_0.jpg,12
n03404251_3041_0.jpg,2
n04602956_1769_0.jpg,7
n03226538_857_0.jpg,9
n03450734_15583_0.jpg,11
n03595264_13820_0.jpg,3
n03589791_10173_0.jpg,3
n02956883_4028_0.jpg,1
n02867966_12450_0.jpg,3
n03010795_3217_0.jpg,6
n02892767_3055_0.jpg,12
n03817647_6600_0.jpg,4
n02936570_5428_0.jpg,4
n02807616_3136_0.jpg,6
n04187970_12524_0.jpg,2
n03943920_8537_0.jpg,9
n02694966_6228_0.jpg,6
n02957008_21000_0.jpg,3
n04504141_5587_0.jpg,9
n03902756_12374_0.jpg,2
n03607923_1720_0.jpg,6
n02943964_629_0.jpg,5
n02944146_14637_0.jpg,4
n02936570_9492_0.jpg,8
n04502197_27159_0.jpg,10
n04364994_5651_0.jpg,6
n03221540_5086_0.jpg,3
n04370456_2705_0.jpg,10
n04532106_4670_1.jpg,4
n03450230_14269_0.jpg,4
n04122492_3523_0.jpg,2
n03943920_7711_0.jpg,9
n04222470_1298_0.jpg,9
n02667093_5032_0.jpg,4
n03817647_11209_0.jpg,4
n04186455_7383_0.jpg,4
n02944075_3460_0.jpg,12
n04497570_640_0.jpg,10
n03062015_12495_0.jpg,8
n04021028_1174_0.jpg,3
n02807616_5927_0.jpg,4
n04497570_6651_0.jpg,0
n04350905_21705_0.jpg,9
n04502197_30127_0.jpg,10
n03844815_10113_0.jpg,2
n02955767_15852_0.jpg,13
n03978966_2470_0.jpg,9
n02926426_9239_0.jpg,12
n02944146_391_0.jpg,12
n04370456_2587_0.jpg,2
n04046277_2642_0.jpg,10
n02885233_5919_0.jpg,3
n03835941_447_0.jpg,6
n03981340_328_0.jpg,6
n04021028_16400_1.jpg,10
n04605572_10884_0.jpg,1
n04370456_101_0.jpg,3
n03595614_824_1.jpg,6
n04222470_4246_0.jpg,9
n03205574_8277_0.jpg,10
n03891051_16190_0.jpg,2
n03595614_22440_0.jpg,11
n03751269_7804_0.jpg,3
n04370048_6185_0.jpg,10
n02925385_252_0.jpg,3
n02892767_18629_0.jpg,14
n03589791_13411_0.jpg,3
n03604400_8401_0.jpg,8
n04021028_2489_0.jpg,2
n02811719_7855_0.jpg,13
n03751269_2894_0.jpg,3
n04504141_4918_0.jpg,9
n04397645_1970_0.jpg,8
n04370048_18139_0.jpg,10
n03237992_19257_0.jpg,2
n03891051_14754_0.jpg,3
n04021028_53277_1.jpg,10
n03254046_2862_0.jpg,2
n04502197_33025_0.jpg,6
n02807616_35924_0.jpg,6
n03829857_3242_0.jpg,2
n04502197_6071_0.jpg,1
n03201776_23953_0.jpg,14
n02944075_6375_1.jpg,12
n04350905_35523_0.jpg,9
n03817647_15658_0.jpg,4
n03604400_17276_0.jpg,8
n04370048_2544_0.jpg,10
n04350905_10690_0.jpg,4
n02963159_9521_0.jpg,10
n02944146_5965_0.jpg,12
n04173907_3458_0.jpg,1
n03630383_2009_0.jpg,2
n03132776_8385_0.jpg,4
n03324928_10690_0.jpg,7
n03201638_15154_0.jpg,4
n04370456_2655_0.jpg,2
n04368496_30997_0.jpg,8
n03219966_3873_0.jpg,2
n04370048_16603_0.jpg,10
n04489695_2684_0.jpg,4
n04427715_931_0.jpg,9
n04502197_7727_0.jpg,10
n04455579_6838_0.jpg,2
n02956883_6740_0.jpg,1
n04479046_1019_0.jpg,2
n04049405_5392_0.jpg,3
n04531873_1189_0.jpg,14
n03237212_12004_0.jpg,13
n03238286_1078_0.jpg,0
n03239259_195_1.jpg,13
n03615563_8044_0.jpg,13
n03057724_1728_0.jpg,8
n04097866_2878_2.jpg,12
n04489695_9056_0.jpg,4
n03630383_3770_1.jpg,0
n02943964_2134_0.jpg,11
n03404251_9283_0.jpg,2
n03013438_17276_0.jpg,8
n04186455_13680_0.jpg,1
n04350905_13649_0.jpg,9
n04370456_860_0.jpg,10
n04123448_3829_0.jpg,9
n03228254_4218_0.jpg,1
n03978966_4804_0.jpg,11
n02936402_7539_0.jpg,4
n03607923_2917_0.jpg,2
n04497570_13727_0.jpg,14
n03467254_239_0.jpg,7
n04363777_2600_0.jpg,2
n03045337_19464_0.jpg,1
n04222470_7591_0.jpg,3
n04532106_8622_0.jpg,6
n02867966_3238_0.jpg,3
n04497570_1101_0.jpg,10
n04497570_1504_0.jpg,6
n03981340_970_0.jpg,6
n03324928_492_0.jpg,13
n03112869_35060_0.jpg,12
n03384891_41209_0.jpg,1
n03902756_6781_0.jpg,3
n03617480_2733_0.jpg,4
n04514241_1848_1.jpg,12
n03398153_17018_0.jpg,4
n04504141_1013_0.jpg,9
n04602956_1284_0.jpg,7
n03201776_43429_0.jpg,9
n03228254_6744_0.jpg,13
n04355511_71_0.jpg,8
n02864504_8958_0.jpg,4
n04370048_15676_0.jpg,9
